16,1,2,2,2,1,4,4,,
A₁,1,1,1,1,1,1,1,0,0
A₂,1,1,1,1,1,-1,-1,1,0
B₁,1,-1,1,-1,1,1,-1,0,0
B₂,1,-1,1,-1,1,-1,1,0,1
E₁,2,1.414213562,0,-1.414213562,-2,0,0,0,1
E₂,2,0,-2,0,2,0,0,0,0
E₃,2,-1.414213562,0,1.414213562,-2,0,0,1,0
