24,1,8,3,6,6,,
A1,1,1,1,1,1,0,0
A2,1,1,1,-1,-1,0,0
E,2,-1,2,0,0,0,0
T1,3,0,-1,1,-1,3,0
T2,3,0,-1,-1,1,0,3
