12,1,2,2,1,1,2,2,1,,
Ag,1,1,1,1,1,1,1,1,1,0
Bg,1,-1,1,-1,1,1,-1,-1,0,0
E1g,2,1,-1,-2,2,-1,1,-2,1,0
E2g,2,-1,-1,2,2,-1,-1,2,0,0
Au,1,1,1,1,-1,-1,-1,-1,0,1
Bu,1,-1,1,-1,-1,-1,1,1,0,0
E1u,2,1,-1,-2,-2,1,-1,2,0,1
E2u,2,-1,-1,2,-2,1,1,-2,0,0
