5, 1, 2, 1, 2, 2
A', 1, 1, 1, 1, 1, 1
A'', 1, 1, 1, -1, -1, -1
E'1, 2, 0.618033988750, -1.618033988750, 2, 0.618033988750, -1.618033988750
E''1, 2, 0.618033988750, -1.618033988750, 2, -0.618033988750, 1.618033988750
E'2, 2, -1.618033988750, 0.618033988750, 2, -1.618033988750, 0.618033988750
E''2, 2, -1.618033988750, 0.618033988750, 2, 1.618033988750, -0.618033988750
