24, 1, 8, 6, 6, 3
A1, 1, 1, 1, 1, 1
A2, 1, 1, -1, -1, 1
E, 2, -1, 0, 0, 2
T1, 3, 0, -1, 1, -1
T2, 3, 0, 1, -1, -1
