12,1,2,3,1,2,3,,
A₁g,1,1,1,1,1,1,0,0
A₂g,1,1,-1,1,1,-1,1,0
Eg,2,-1,0,2,-1,0,1,0
A₁u,1,1,1,-1,-1,-1,0,0
A₂u,1,1,-1,-1,-1,1,0,1
Eu,2,-1,0,-2,1,0,0,1
